Region,Kommune,Antal unge,Indbygger tal,% unge,% Total YPop,1000,ADRESSERINGSNAVN_1,SUM of Saga medlemmer,SAGA MEDLEMMER PER 1000 UNGE
Midtjylland,Samsø,398,"3,682",11%,0.03%,0,Samsø Kommune,0,0
Midtjylland,Silkeborg,"19,519","95,488",20%,1.46%,15,Silkeborg Kommune,1,0.125
Midtjylland,Skanderborg,"11,417","63,390",18%,0.86%,9,Skanderborg Kommune,0,0
Midtjylland,Skive,"8,876","45,425",20%,0.66%,7,Skive Kommune,0,0
Sjælland,Slagelse,"17,322","79,122",22%,1.30%,13,Slagelse Kommune,1,0.125
Sjælland,Solrød,"4,331","23,441",18%,0.32%,3,Solrød Kommune,14,1.75
Syddanmark,Sønderborg,"14,374","73,831",19%,1.08%,11,Sønderborg Kommune,0,0
Sjælland,Sorø,"5,584","29,993",19%,0.42%,4,Sorø Kommune,7,0.875
Sjælland,Stevns,"3,813","23,034",17%,0.29%,3,Stevns Kommune,2,0.25
Midtjylland,Struer,"3,877","20,808",19%,0.29%,3,Struer Kommune,0,0
Syddanmark,Svendborg,"11,532","58,588",20%,0.86%,9,Svendborg Kommune,0,0
Midtjylland,Syddjurs,"7,195","43,168",17%,0.54%,5,Syddjurs Kommune,0,0
Hovedstaden,Tårnby,"7,863","42,670",18%,0.59%,6,Tårnby Kommune,9,1.125
Nordjylland,Thisted,"8,254","43,160",19%,0.62%,6,Thisted Kommune,0,0
Syddanmark,Tønder,"6,833","37,050",18%,0.51%,5,Tønder Kommune,0,0
Hovedstaden,Vallensbæk,"3,249","16,515",20%,0.24%,2,Vallensbæk Kommune,9,1.125
Syddanmark,Varde,"9,396","49,628",19%,0.70%,7,Varde Kommune,5,0.625
Syddanmark,Vejen,"8,446","42,790",20%,0.63%,6,Vejen Kommune,10,1.25
Syddanmark,Vejle,"25,045","116,992",21%,1.88%,19,Vejle Kommune,29,3.625
Nordjylland,Vesthimmerlands,"6,735","36,362",19%,0.50%,5,Vesthimmerlands Kommune,0,0
Midtjylland,Viborg,"20,259","96,679",21%,1.52%,15,Viborg Kommune,0,0
Sjælland,Vordingborg,"7,978","45,268",18%,0.60%,6,Vordingborg Kommune,5,0.625
,,,,,,,Grand Total,634,
